T,sxGS,syGS,szGS
0.04297004704320842,-7.929040789960818e-18,-1.6005320071432263e-17,0.9570299529567916
0.0455293507486695,-8.16396359816115e-18,-1.6676863169023152e-17,0.9544706492513305
0.04824108704165371,-8.408064009820637e-18,-1.7361781259926255e-17,0.9517589129583462
0.051114334834401684,-8.661547422548139e-18,-1.805862837867227e-17,0.9488856651656011
0.05415871378079473,-8.924589894525631e-18,-1.8765678685474015e-17,0.9458412862192083
0.057384416483023955,-9.197338304446857e-18,-1.9480926586003446e-17,0.9426155835169798
0.06080224261649424,-9.47991363177836e-18,-2.0202109107545514e-17,0.9391977573835166
0.06442363508721373,-9.772415782819349e-18,-2.0926747438925965e-17,0.9355763649128533
0.06826071834272389,-1.0074928548843108e-17,-2.1652203460825947e-17,0.9317392816576541
0.07232633896483537,-1.0387523597300746e-17,-2.237574663273901e-17,0.9276736610371229
0.07663410868007459,-1.0710262734993182e-17,-2.309462660941837e-17,0.9233658913291898
0.08119844993184012,-1.1043197956881007e-17,-2.3806147273878697e-17,0.9188015501083316
0.08603464416684505,-1.1386368975278357e-17,-2.450773836356206e-17,0.913965355993563
0.09115888299750823,-1.17397980284141e-17,-2.519702143757245e-17,0.9088411175950522
0.09658832241158703,-1.2103481838505035e-17,-2.5871867527645838e-17,0.9034116796223559
0.10234114021054533,-1.2477380675490876e-17,-2.653044440080926e-17,0.8976588663033002
0.10843659686896104,-1.2861404617855753e-17,-2.717125192022498e-17,0.8915634226708775
0.11489510001873092,-1.3255397298362871e-17,-2.779314451481537e-17,0.8851049550857106
0.12173827277396614,-1.3659117668654422e-17,-2.839534025719835e-17,0.878261873828692
0.12898902612533086,-1.407222058320364e-17,-2.897741650855493e-17,0.8710113430302653
0.13667163564620066,-1.4494237251322333e-17,-2.953929252838868e-17,0.8633292468894381
0.14481182276745339,-1.4924556796859053e-17,-3.0081199878808716e-17,0.8551901862217319
0.15343684089300125,-1.536241026771268e-17,-3.060364188679143e-17,0.8465675256896975
0.16257556664437942,-1.5806858433613714e-17,-3.1107343866494164e-17,0.8374335189552713
0.17225859653987866,-1.6256784598825613e-17,-3.1593196238279403e-17,0.8277595452076767
0.18251834943190434,-1.67108934489188e-17,-3.2062193088915786e-17,0.817516494283947
